id,word,freq,thetime
1120170314,창업,422,201703
1120170315,대출,333,201703
1120170316,혁명,25,201703
1120170317,규제,446,201703
1120170318,청년,294,201703
1120170319,조선,324,201703
1120170320,연금,262,201703
1320161001,트럼프,2060,201610
1320161002,중국,1238,201610
1320161003,북한,983,201610
1320161004,미국,2414,201610
1320161005,대통령,1053,201610
1320161006,달러,631,201610
1320161007,경찰,633,201610
1320161008,총리,532,201610
1320161009,지진,349,201610
1320161010,시리아,523,201610
1320161011,유엔,567,201610
1320161012,힐러리,550,201610
1320161013,대선,603,201610
1320161014,공화당,566,201610
1320161015,인도,398,201610
1320161016,난민,288,201610
1320161017,영국,466,201610
1320161018,필리핀,302,201610
1320161019,두테르테,293,201610
1320161020,미사일,319,201610
1320161101,트럼프,5584,201611
1320161102,대통령,2902,201611
1320161103,중국,1231,201611
1320161104,미국,3442,201611
1320161105,대선,1405,201611
1320161106,북한,744,201611
1320161107,지진,354,201611
1320161108,힐러리,870,201611
1320161109,총리,643,201611
1320161110,당선,983,201611
1320161111,달러,582,201611
1320161112,경찰,468,201611
1320161113,공화당,758,201611
1320161114,인도,372,201611
1320161115,선거,690,201611
1320161116,당선자,347,201611
1320161117,영국,459,201611
1320161118,난민,262,201611
1320161119,아베,284,201611
1320161120,대변인,318,201611
1320161201,트럼프,2787,201612
1320161202,중국,1955,201612
1320161203,대통령,2506,201612
1320161204,미국,2965,201612
1320161205,총리,1058,201612
1320161206,테러,733,201612
1320161207,북한,825,201612
1320161208,경찰,613,201612
1320161209,유엔,746,201612
1320161210,달러,653,201612
1320161211,아베,539,201612
1320161212,대선,740,201612
1320161213,시리아,435,201612
1320161214,지진,232,201612
1320161215,반군,354,201612
1320161216,영국,496,201612
1320161217,총장,319,201612
1320161218,알레포,282,201612
1320161219,당선자,283,201612
1320161220,금리,262,201612
1320170101,트럼프,4954,201701
1320170102,대통령,3368,201701
1320170103,중국,1866,201701
1320170104,미국,4191,201701
1320170105,경찰,1058,201701
1320170106,총리,873,201701
1320170107,덴마크,770,201701
1320170108,북한,732,201701
1320170109,테러,556,201701
1320170110,행정명령,659,201701
1320170111,검찰,574,201701
1320170112,송환,509,201701
1320170113,영국,584,201701
1320170114,달러,561,201701
1320170115,호텔,385,201701
1320170116,대선,646,201701
1320170117,구금,445,201701
1320170118,필리핀,327,201701
1320170119,아베,339,201701
1320170120,총격,279,201701
1320170201,트럼프,4293,201702
1320170202,대통령,3008,201702
1320170203,북한,2813,201702
1320170204,경찰,1964,201702
1320170205,중국,1674,201702
1320170206,미국,3417,201702
1320170207,말레이시아,1637,201702
1320170208,김정남,1726,201702
1320170209,행정명령,1118,201702
1320170210,총리,781,201702
1320170211,미사일,745,201702
1320170212,발사,611,201702
1320170213,체포,590,201702
1320170214,테러,516,201702
1320170215,외교,676,201702
1320170216,암살,692,201702
1320170217,유엔,466,201702
