thetime,kospi
1989/01,884.29
1988/12,907.2
1988/11,831.12
1988/10,729.79
1988/09,677.54
1988/08,664.43
1988/07,717.08
1988/06,702.83
1988/05,717.35
1988/04,649.88
1988/03,656.47
1988/02,612.35
1988/01,642.11
1987/12,517.99
1987/11,475.59
1987/10,504.96
1987/09,485.35
1987/08,474.01
1987/07,485.48
1987/06,411.76
1987/05,384.19
1987/04,358.63
1987/03,405.13
1987/02,332.58
1987/01,306.02
1986/12,272.61
1986/11,266.5
1986/10,240.79
1986/09,253.45
1986/08,264.78
1986/07,273.75
1986/06,243.36
1986/05,229.47
1986/04,202.91
1986/03,199.76
1986/02,175.91
1986/01,160.42
1985/12,163.37
1985/11,148.84
1985/10,140.89
1985/09,138.91
1985/08,136.33
1985/07,137.38
1985/06,137.2
1985/05,134.09
1985/04,134.15
1985/03,135.08
1985/02,134.93
1985/01,138.9
1984/12,142.46
1984/11,135.54
1984/10,129.82
1984/09,134.14
1984/08,136.11
1984/07,134.54
1984/06,132.25
1984/05,130.48
1984/04,135.6
1984/03,132.11
1984/02,129.66
1984/01,124.08
1983/12,121.29
1983/11,117.63
1983/10,121.42
1983/09,117.71
1983/08,118.82
1983/07,124.98
1983/06,122.44
